Country,Rank,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Plot,Poster,imdbID,Production,imdbScore,Trailer,Trailer_img
au,1,Avengers: Endgame,2019,PG-13,26 Apr 2019,181 min,"Action, Adventure, Fantasy, Sci-Fi","Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to undo Thanos' actions and restore order to the universe.",https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_SX300.jpg,tt4154796,Marvel Studios,8.8,https://www.imdb.com/video/imdb/vi2163260441?playlistId=tt4154796,"https://m.media-amazon.com/images/M/MV5BOThlNjdhZmQtNzlkOS00M2VjLWI0ZjUtZDExZDI1MjRhZGFkXkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
au,2,Pokémon Detective Pikachu,2019,PG,09 May 2019,104 min,"Action, Adventure, Comedy, Family, Mystery, Sci-Fi",Rob Letterman,"Ryan Reynolds, Justice Smith, Kathryn Newton, Bill Nighy","In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",https://m.media-amazon.com/images/M/MV5BNDU4Mzc3NzE5NV5BMl5BanBnXkFtZTgwMzE1NzI1NzM@._V1_SX300.jpg,tt5884052,Warner Bros. Pictures,7.0,https://www.imdb.com/video/imdb/vi3254238233?playlistId=tt5884052,"https://m.media-amazon.com/images/M/MV5BZTRkNjhmNDQtNTcyZC00YzMwLThkMGMtYmI3MTQ4MTQzNGJiXkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
au,3,The Hustle,2019,PG-13,10 May 2019,94 min,Comedy,Chris Addison,"Anne Hathaway, Rebel Wilson, Tim Blake Nelson, Alex Sharp","Anne Hathaway and Rebel Wilson star as female scam artists, one low rent and the other high class, who team up to take down the dirty rotten men who have wronged them.",https://m.media-amazon.com/images/M/MV5BMTc3MDcyNzE5N15BMl5BanBnXkFtZTgwNzE2MDE0NzM@._V1_SX300.jpg,tt1298644,MGM,5.1,https://www.imdb.com/video/imdb/vi2275195929?playlistId=tt1298644,"https://m.media-amazon.com/images/M/MV5BYzQ0ZmQ4MmEtZjdmNS00ODg0LTlkMjktNDBlNmZlMjc0YmMxXkEyXkFqcGdeQXRzdGFzaWVr._V1_CR0,12,907,510_AL_UX477_CR0,0,477,268_AL_.jpg"
au,4,Top End Wedding,2019,N/A,30 Jan 2019,113 min,Comedy,Wayne Blair,"Gwilym Lee, Kerry Fox, Miranda Tapsell, Huw Higginson","Lauren and Ned are engaged, they are in love, and they have just ten days to find Lauren's mother who has gone AWOL somewhere in the remote far north of Australia, reunite her parents and pull off their dream wedding.",https://m.media-amazon.com/images/M/MV5BMjU0NDk0N2EtNTliZS00MjNmLTk0M2MtYTMzOTUxMGQwZWI3XkEyXkFqcGdeQXVyMzE0MTQ2NzQ@._V1_SX300.jpg,tt7555072,Films Boutique,7.2,N/A,N/A
au,5,Poms,2019,N/A,10 May 2019,N/A,Comedy,Zara Hayes,"Diane Keaton, Pam Grier, Charlie Tahan, Rhea Perlman","45 minutes outside of Phoenix lies a retirement community. A place where palm trees line the streets, the skies are always clear and the ""taxi"" (ambulance) drives by two or three times a day - a final destination for retirees. This is the story of America's first cheer-leading squad for women aged 60.",https://m.media-amazon.com/images/M/MV5BMjUxMDQ3MjcxOV5BMl5BanBnXkFtZTgwNTMxMTg0NzM@._V1_SX300.jpg,tt5125894,STXfilms,5.1,https://www.imdb.com/video/imdb/vi1297201689?playlistId=tt5125894,"https://m.media-amazon.com/images/M/MV5BYjc0NTdkOGMtOWZiZS00ZjkyLWFkYTItYzBiMDY1ZGNkYWY0XkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
au,6,Long Shot,2019,R,03 May 2019,125 min,"Comedy, Romance",Jonathan Levine,"Charlize Theron, Seth Rogen, June Diane Raphael, O'Shea Jackson Jr.","When Fred Flarsky reunites with his first crush, one of the most influential women in the world, Charlotte Field, he charms her. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",https://m.media-amazon.com/images/M/MV5BMmE4Mzk0OWQtMDI1OS00NDU3LWI2M2YtNzc1MGMxZGI3ZTE1XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,tt2139881,Summit Entertainment,7.2,https://www.imdb.com/video/imdb/vi1734982169?playlistId=tt2139881,"https://m.media-amazon.com/images/M/MV5BMjNhMmYzMTYtNTRlMi00MDU4LWE5YjYtNDlhODM0YWI0YWZlXkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
au,7,Maharshi,2019,N/A,08 May 2019,N/A,"Action, Drama",Vamshi Paidipally,"Mahesh Babu, Pooja Hegde, Allari Naresh, Rajsekhar Aningi",Maharshi is an action film starring Mahesh Babu and Pooja Hegde in lead roles. Allari Naresh is playing a key role in the film.,https://m.media-amazon.com/images/M/MV5BMjhjMWM5MTgtODc0Mi00NDgxLTg0MjMtYzI2ODIxMTg5ZDQ5XkEyXkFqcGdeQXVyNjQ1MzA2OTY@._V1_SX300.jpg,tt8333978,N/A,8.3,https://www.imdb.com/video/imdb/vi2952379417?playlistId=tt8333978,"https://m.media-amazon.com/images/M/MV5BODdiOGIzNWYtMmYyYS00MjUwLTk1NjItOWZkNjE1ZjMzN2I5XkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_CR61,0,1799,1012_AL_UY268_CR15,0,477,268_AL_.jpg"
au,8,Peppa Pig: Festival of Fun,2019,N/A,05 Apr 2019,N/A,N/A,N/A,N/A,"Join the party with Peppa and George in their brand new adventures as they dance in the mud at a children's festival, celebrate Grandpa Pig's birthday at a restaurant for the first time, ...",https://m.media-amazon.com/images/M/MV5BYzQ0M2ZjODEtNzViNS00MGY0LTk2NDctNzViZDBjMmExMWFlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,tt10112466,eOne,4.8,https://www.imdb.com/video/imdb/vi954449177?playlistId=tt10112466,"https://m.media-amazon.com/images/M/MV5BNmRlOTg2NjgtNmMzMC00OTY4LThmZGUtZjQzNTZjZDBhNjk3XkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
au,9,Student of the Year 2,2019,N/A,10 May 2019,145 min,"Comedy, Drama, Romance",Punit Malhotra,"Alia Bhatt, Tara Sutaria, Tiger Shroff, Ananya Panday","The biggest franchise of Bollywood returns with Student Of The Year 2 starring the incredible Tiger Shroff and introducing - Tara and Ananya. Friendship, sportsmanship, love, companionship - it's all in for the Student Of The Year.",https://m.media-amazon.com/images/M/MV5BNDg2NjhlZGItMGQ2Ny00NTMwLWExMmItMmVmNmNlYTA3ZTlkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,tt7255568,N/A,2.3,https://www.imdb.com/video/imdb/vi3238378777?playlistId=tt7255568,"https://m.media-amazon.com/images/M/MV5BYjk3Y2NhZmMtYjEwYS00MDI2LWFlNzMtN2Q1N2U4NTIyZmY2XkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
au,10,All Is True,2018,PG-13,10 May 2019,101 min,"Biography, Drama, History",Kenneth Branagh,"Kenneth Branagh, Lolita Chakrabarti, Jack Colgrave Hirst, Doug Colling",A look at the final days in the life of renowned playwright William Shakespeare.,https://m.media-amazon.com/images/M/MV5BODI5Nzc1Nzk2Ml5BMl5BanBnXkFtZTgwNTg5MTQ5NjM@._V1_SX300.jpg,tt9206798,Sony Pictures Classics,5.8,https://www.imdb.com/video/imdb/vi1345567257?playlistId=tt9206798,"https://m.media-amazon.com/images/M/MV5BMzVkYTgxZDgtNTk0ZC00ZTZiLTlmNjItYjY5ODc3MDRlNDAyXkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
