Country,Rank,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Plot,Poster,imdbID,Production,imdbScore,Trailer,Trailer_img
br,1,Avengers: Endgame,2019,PG-13,26 Apr 2019,181 min,"Action, Adventure, Fantasy, Sci-Fi","Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to undo Thanos' actions and restore order to the universe.",https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_SX300.jpg,tt4154796,Marvel Studios,8.8,https://imdb-video.media-imdb.com/vi2163260441/1434659607842-pgv4ql-1556354704370.mp4?Expires=1558071052&Signature=LIutTvsu52g2k-1Onp3H1Ovl85SZOh7sHjgtnPKMgeDKumJVwZPp9-Q3GJEKJ6FEZokkLxD4DthXWEJPMb5FoyJWXMTn6V-fciUCMIyJg4FqR0MVQ62893pr9uHZG2bXn-hsj9AnB2cTPP8jXXWs-JBjIhfPPtbrEPgcmx~U6n59KgtAdm2k8LSwKXa-ayuwq3MpI8sDl02zhFgSddY8mw6eWJj6cpfMLlXUsi78i0vL-TPg-xITUKBZOSjFZBOTrgHBfzx8jPG3lh8~JEXrZebpPZ0E9AlL32bvtK105p31sJ7o~4aRIPlZ~j15tEOPjTpXIu08ZNqCYQpbFVWSVw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BOThlNjdhZmQtNzlkOS00M2VjLWI0ZjUtZDExZDI1MjRhZGFkXkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
br,2,Pokémon Detective Pikachu,2019,PG,09 May 2019,104 min,"Action, Adventure, Comedy, Family, Mystery, Sci-Fi",Rob Letterman,"Ryan Reynolds, Justice Smith, Kathryn Newton, Bill Nighy","In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",https://m.media-amazon.com/images/M/MV5BNDU4Mzc3NzE5NV5BMl5BanBnXkFtZTgwMzE1NzI1NzM@._V1_SX300.jpg,tt5884052,Warner Bros. Pictures,7.0,https://imdb-video.media-imdb.com/vi3254238233/1434659607842-pgv4ql-1556731178145.mp4?Expires=1558071063&Signature=t-LIS1tpWuisU1XFKZBN5r50-Dx9CCl5ayfigRtouljU4-W7bt0x5yPUqoQ1RsaOU7rbKblNrLxDz-fpOm7Yx5nhltg1LeNrTf167G8wBl30QuA5lC56LMTRleagBfMmPNu42gCuqG47xGB2S~bA4XHOxNclZBbePpSTD4YjoriGd2I1U~3xSabDBnkyxJYTkCbVNGS~7~x2f8zSTCbCQBd5geU1FXx6EhJetUsnvDAD6LYegAcDKSFSuWbeZGFBnxDGhQlDFs3Zump2lega1BV-pljzguwlRf~mCenPRyV8~SAuqeaDQnv6RGauBOB7DaTClbc6~QgxR3Qz8i4P4g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BZTRkNjhmNDQtNTcyZC00YzMwLThkMGMtYmI3MTQ4MTQzNGJiXkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
br,3,Pet Sematary,2019,R,05 Apr 2019,101 min,"Horror, Mystery, Thriller","Kevin Kölsch, Dennis Widmyer","Jason Clarke, Amy Seimetz, John Lithgow, Jeté Laurence","Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.",https://m.media-amazon.com/images/M/MV5BMjUyNjg1ODIwMl5BMl5BanBnXkFtZTgwNjMyOTYzNzM@._V1_SX300.jpg,tt0837563,PPI,6.1,https://imdb-video.media-imdb.com/vi266583321/1434659607842-pgv4ql-1554124832964.mp4?Expires=1558071070&Signature=AqbnbxE8w31rnHbfUTm9ElZnGWyjX2jYRfbrxq7~2-d1Y-hKK~NCcBvDSwhmbtIlBYqtvjy6ZPSEQu-ZlcJllkdwrQLBv3KvbbQ3scjuHOkeWGBH9-75ZtgkF0MDXdJaw5sVxhq2V0HghMWDmSu1aY4A1pEMuUU9ZXfTl9h2FgvFtAyX2dTiev316XCplFyNHByPvpBcLN7KCgS~rxrXGQ-p59hcbp0sVuyTN8u9eZuE857ljAYE-hjJavEjUGbuBnxCQVMC0bYaE2nFmIXIoESE3-NlP6rr6DoNQmkIM9Cem~OrfCAoA1vXR1lE924iJhl8RPi9jet6LpzCYfFdHw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BYjUxNGJiY2QtNzc5MC00Mzg5LTk0YTYtZWJlOGJjMzJmODViXkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
br,4,De Pernas pro Ar 3,2019,PG-13,11 Apr 2019,104 min,Comedy,Julia Rezende,"Duda Batista, Bruno Garcia, Ingrid Guimarães, Vincent Mangado","The success of the Sexo Delícia franchise makes Alice (Ingrid Guimarães) ride the world, visit the countries of origin in an endless rush. Without time to dedicate herself to the family, who takes over a house with her husband João Paulo, who takes care of her children Paulinho (Eduardo Mello) and Clarinha (Duda Batista), who is six years old. Tired of all the hustle and bustle, Alice decides, Marion (Denise Weinberg). However, the emergence of Leona (Samya Pascotto), a young competitor, makes her own plans.",https://m.media-amazon.com/images/M/MV5BNTU0ZTliYzctOWFjNS00NTIyLWJjOWMtZjEzYjBkYzg2OTIxXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,tt9214310,Tele Cine,5.2,N/A,N/A
br,5,Breakthrough,2019,PG,17 Apr 2019,116 min,"Biography, Drama",Roxann Dawson,"Topher Grace, Chrissy Metz, Marcel Ruiz, Josh Lucas","When her 14-year-old son drowns in a lake, a faithful mother prays for him to come back from the brink of death and be healed.",https://m.media-amazon.com/images/M/MV5BMTU2ODk2ODEzMV5BMl5BanBnXkFtZTgwMzk1OTk4NjM@._V1_SX300.jpg,tt7083526,20th Century Fox,5.8,https://imdb-video.media-imdb.com/vi2244000281/1434659607842-pgv4ql-1544030874478.mp4?Expires=1558071097&Signature=PvqMxztwy0KcXErU-AlrJ4rc6jBceGyqMcn0wHHfnJazW0ztBu~FnFG~wnCKJLDOeF6frq70uBMllHK4g2GkgjY6N9jjDnNEr-UHlzMf1cLQvyG-UQUYtDBn3q2Fr~0hNBtIsdCsfZBS~UbojXP8nGKUq44Bdg6hT-WZNX0YDVAZ61o5ri7qr3~l8Dvdzsu1L9lfJU2AedmJyhnoEavajxQ~kTiTLDh7jeTcswQrJnetRIFqqNIWd8UApLoPDlOekaz4jNesWhp4PnJTn2W9FWrwDCjdZCq~O2o0FjfxfVVzOU4D4T-p6Xf3p3GlvZdFxa2yK4C~y72fzz3t6hS1sg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BZWEyYWY0ZGUtNmRmYy00ZDZhLTk2NmQtZjMxNTU5NGZjMDlmXkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
br,6,Mia and the White Lion,2018,PG,12 Apr 2019,98 min,"Adventure, Drama, Family",Gilles de Maistre,"Daniah De Villiers, Mélanie Laurent, Langley Kirkwood, Ryan Mac Lennan",A young girl from London moves to Africa with her parents where she befriends a lion cub.,https://m.media-amazon.com/images/M/MV5BNjFkYTdkYzAtN2MzZS00ZjlmLTkxZWQtODg3YmYxMTdjNjVkXkEyXkFqcGdeQXVyNzczNzUxNTI@._V1_SX300.jpg,tt4844148,Paris,6.5,https://imdb-video.media-imdb.com/vi3207183129/1434659607842-pgv4ql-1534329694564.mp4?Expires=1558071110&Signature=PBrF8Tdujyd46ajDBVAv69OwfGwoRYliufrj7zn8V8S-EABbByYD018biDCx00AvOlPleViMOXJnG3HTwXQ96qfESYvPUHcB26ke9LBlYsyZ9WDW4r1hOo7tjbZvqX9MQrJ-Dz3IwQPVsGO3VynLGAEk1gOPJuS8HnVubFs~Etb0HiwlZ-eihgVzvWWEdK3Rl1QzyL2ASA3g3R8EIQxqWzr0AAE-Q39H0FT0c9rCv2yKfEmAQbi8jxEyYVt9AzrzL0ikaeR02U5xw2SpOXrFFog~MIK1539XSjBcGCHFw1jpTzT5Zq6r1XLnS52hGFlRPgoFcs4otr3e3-qdKfsEgA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BMmY0MjZiYWEtZGRkOC00ZjEzLTg4OTUtYzRjNzFhNGFmZjY3XkEyXkFqcGdeQXRodW1ibmFpbC1pbml0aWFsaXplcg@@._V1_UX477_CR0,0,477,268_AL_.jpg"
br,7,The Professor and the Madman,2019,PG-13,10 May 2019,124 min,"Biography, Drama, Mystery, Thriller",Farhad Safinia,"Natalie Dormer, Mel Gibson, Jeremy Irvine, Jennifer Ehle","Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid 19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.",https://m.media-amazon.com/images/M/MV5BNjRjNWIxMWMtNzcxYi00NDYyLWFmMzAtZTRiZWZhZDMwZmVkXkEyXkFqcGdeQXVyMjExMDE1MzQ@._V1_SX300.jpg,tt5932728,Vertical Entertainment,7.4,https://imdb-video.media-imdb.com/vi3204234521/1434659607842-pgv4ql-1553636782679.mp4?Expires=1558071130&Signature=j1wOEQhjB4FyKuGUWz9xfWwRn7uvcUGVIWFkFTFLCI4YAe061Y8cswua7VuPKlHcT5VDpjmmBMgDDVxdVwqYj16fSXJ5GfKGLUVsbQfHzqjjo~WnbJ8MoKmV6FO1-5n6QH71pt-uTCy8C60aDEaWZPUP5P08gjcArz8X8cOtuew1WiVBwtYqcumQGABV92T8Rg4P2~HtzjMjakObwsUTsNV4ROMbZu28~VP8tyertnitkkMRJJmtnjav1UIqXU9c-UkaB8wvU4GmlDOOGGpdzHYBCJACfqQZxQmw-r5JV2pjkdZqESqO2iXtb3wrHjeO1~c0kbdtsf2y68EhsXmUsQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BNWE2MDhjOWYtNGE0NS00NWRmLWJmYmEtMjM2OTE2NzYzMjE3XkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
br,8,Dumbo,2019,PG,29 Mar 2019,112 min,"Adventure, Family, Fantasy",Tim Burton,"Colin Farrell, Michael Keaton, Danny DeVito, Eva Green","A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",https://m.media-amazon.com/images/M/MV5BNjMxMDE0MDI1Ml5BMl5BanBnXkFtZTgwMzExNTU3NjM@._V1_SX300.jpg,tt3861390,Walt Disney Pictures,6.6,https://imdb-video.media-imdb.com/vi2482814233/1434659607842-pgv4ql-1553631110064.mp4?Expires=1558071141&Signature=UtXJ8SrTNvoMzAX7N6hScX0W10iiEKStxemVS6wPqpwbrcP2Hz9k4-Rhewdw0PUmkP9-f4lZnJrCWEkxIRT8y0RKO~cuaREzgNAoEYPsKl8tOK5Fq-9cqXh6Z-UGOqtqbylWUasCbeoUaFgODYADDHojRdLDEclKUv3hWQcCswO6Y2RV4-eedk5HNVswmF6tQTqYdQ7C4GMq7575gqBXDd~tf2w~gsT-TBWtL4hW484zAEWLOXpHVeLhWpS1Uyv0aR8v2OkBmJgY9f57WA0vPGlNu8FJrt2kWumGT9ukXKaa7Zc-CriuKGiPMhAOgXprLAWe9Ls10SAlrh8Yce5cHQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BYWJlNzJlMmEtNzAzYS00NTVkLTk4YWItMzcyZDQxM2QyYTllXkEyXkFqcGdeQXRzdGFzaWVr._V1_UX477_CR0,0,477,268_AL_.jpg"
br,9,Napszállta,2018,R,27 Sep 2018,142 min,Drama,László Nemes,"Evelin Dobos, Vlad Ivanov, Juli Jakab",A young girl grows up to become a strong and fearless woman in Budapest before World War I.,"https://m.media-amazon.com/images/M/MV5BMGJkNTFhMzQtOTJjMy00NmNkLWJjMDItZjFiYjg4ZTRiNzY0XkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_UX182_CR0,0,182,268_AL_.jpg",tt5855772,California,6.5,https://imdb-video.media-imdb.com/vi2984098329/1434659607842-pgv4ql-1543949583255.mp4?Expires=1558068271&Signature=HbhbjxBgRALq6L-FMjGyvlqNAcZ2OAjWvW2didhQf-pCyQuEZVbcS11mlWiCRyPCOMuSlo~e~aVGpkkoOXlGSskhxVZl2h73Xoc3IEuhKCiOE7e80daWSGXQ6B6Dc6dinya5bArBAF-28ESrS5WNiSyXcSzfRw2S4PUqtH-TT0IK8v8L149JzZlSk0TocS-2s1IfVTmuZNMFvkiCwrleLOSiNfFrVh6IBfCb0JRq3dSWtWiyGR57~j3VjME~ehVFc2PnlZyFcD8USs0q269du8RG4fWXE7gPWIFoMr3St2aTZlretlubc1hgKtVDvoPyOAlAqVB44aDNPAbGPxj4og__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BNjU4MzY0ODMtYmI1NS00NmZiLTllYjYtMjhjZTliODk1ZGI0XkEyXkFqcGdeQWFybm8@._V1_CR35,0,1707,960_AL_UY268_CR9,0,477,268_AL_.jpg"
br,10,Mademoiselle Paradis,2017,PG,10 Nov 2017,97 min,"Drama, History",Barbara Albert,"Maria Dragus, Devid Striesow, Lukas Miko, Katja Kolm",A blind pianist living in 18th-century Vienna forms an extraordinary relationship with the physician who is trying to restore her sight.,https://m.media-amazon.com/images/M/MV5BZDQ3NDE4YjktZmI2Zi00OWYyLTk4NWQtYWExZjAwMmY0YmIyXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,tt5584756,A2,6.5,https://www.totaleclips.com/Player/Bounce.aspx?eclipid=e159895&bitrateid=449&vendorid=102&type=.mp4,"https://m.media-amazon.com/images/M/MV5BNzljZTkyN2QtYzI4Mi00NThjLWJlMTUtOGU4ZDQzZmRjNmEwXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_CR0,45,480,270_AL_UX477_CR0,0,477,268_AL_.jpg"
