Country,Rank,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Plot,Poster,imdbID,Production,imdbScore,Trailer,Trailer_img
fr,1,Avengers: Endgame,2019,PG-13,26 Apr 2019,181 min,"Action, Adventure, Fantasy, Sci-Fi","Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to undo Thanos' actions and restore order to the universe.",https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_SX300.jpg,tt4154796,Marvel Studios,8.8,https://imdb-video.media-imdb.com/vi2163260441/1434659607842-pgv4ql-1556354704370.mp4?Expires=1558064263&Signature=L4RyulpPGHXdnhyu2ubM5W5i7y8qEGc320KQ0IK7zDvMfXTlC2hNXNpPIcPHfEITOY6m~eK7IHxLXjN0fcX30bCiDoKyVoURzU1OLMFd62DhoZep-ib7eiLS-O0HGAc2jk68rx0ViDBTHTkenERX86bB7QZ1g9suXzbwbnS~c03S5rlGrkQB6PZwlR4~ld1wXeclaW4Ckd77jjVTwH-MYx0L4BZtI9Ub3YKaaGodGoIHca3Un30Qv~qEXg1QME9dFKZNT~1S5mVecBqJqJPUxp1Bqp9H8TvezZD1xOFgVzWdFEy7M1pXk0d0EWavP8SJmObQ2HlSOe2IJprSxG47hw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BOThlNjdhZmQtNzlkOS00M2VjLWI0ZjUtZDExZDI1MjRhZGFkXkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
fr,2,Pokémon Detective Pikachu,2019,PG,09 May 2019,104 min,"Action, Adventure, Comedy, Family, Mystery, Sci-Fi",Rob Letterman,"Ryan Reynolds, Justice Smith, Kathryn Newton, Bill Nighy","In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",https://m.media-amazon.com/images/M/MV5BNDU4Mzc3NzE5NV5BMl5BanBnXkFtZTgwMzE1NzI1NzM@._V1_SX300.jpg,tt5884052,Warner Bros. Pictures,7.0,https://imdb-video.media-imdb.com/vi3254238233/1434659607842-pgv4ql-1556731178145.mp4?Expires=1558064285&Signature=nd8TMqdjEUlThrD-ab7peawfyLeBPdHmR8LAePOKbMR-LwM2j5wJWJFf91OVZ4BIs8nb3CGGvqjRJSVWfphKIsFZAFOLEojSK3eGlVMLZM0Qm7SHwAcZ6driSTuwgZFgw8wEnhnIiQfPe4YyyBuiQxDdS5F4Pxu2kacxHQkg~lJ-Yq21RVNyTuDbrCqbvfzDRpO7jvA21CBrprfhE6QEzfTMhIkd33U3wXtwr3095C4S8y~Co3jWTc64i1emonOClx2sLC~AC3h6sVYTu8phDHtay0U73SF683EA4hpjzArSJoHTCTSGNxiKc3lDSn3MIIVTqKUkHQbdmJtyIJX7kA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BZTRkNjhmNDQtNTcyZC00YzMwLThkMGMtYmI3MTQ4MTQzNGJiXkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
fr,3,Nous finirons ensemble,2019,PG,01 May 2019,135 min,"Comedy, Drama",Guillaume Canet,"François Cluzet, Marion Cotillard, Gilles Lellouche, Laurent Lafitte","The result of the small handkerchiefs ""Petits mouchoirs"", 7 years later. The band, which erupted, is found on the occasion of the anniversary surprise organized for Max.",https://m.media-amazon.com/images/M/MV5BNzI0NzIzMGItMDQ1NC00NzEyLTg2M2ItYmNhYmJlNDkwM2JkXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_SX300.jpg,tt8201404,Genèse et développement,6.7,https://imdb-video.media-imdb.com/vi3153706265/1434659607842-pgv4ql-1553438965197.mp4?Expires=1558064298&Signature=aPlW11zLfo0yP3GOIBzTKg0ZGzVqTFcXkNiMrPeFWDaK~QkGTQGWnRvx4BPGh~s6Y3c5TqHkb4bX9wZpKNuoZWO2w7pCaBuk8ofe5f6Ik~64fI7g3HHdyr--8HGiDygvkZDZpxlzQf-3TG0x2VbGz~~5rPdGV9TMsma4L4xC5E4SJphQ7C2D1ZBD2XC34IYtrJEZqCvVrKnt5w5HNW01UbwvqlbqYOaU1t0J1S2ayvqUnSUNnjNnNeVg4MUxb3FyZv-R4TnTS68gRvJ8nNtdLqcZezgS7ozKDlHrUDUJ~-o2JKRd1wGNvGMkL3-e33vfDOsoGPAXMgQUvD9ZxYFUbg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BMmQ5MTA3NjItYTYzYS00ODc3LWE2NjAtZmIxMDhjOGUyMjBmXkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
fr,4,Les Crevettes Pailletées,2019,PG,08 May 2019,100 min,Comedy,"Maxime Govare, Cédric Le Gallo","Nicolas Gob, Alban Lenoir, Geoffrey Couët, Michaël Abiteboul","Matthias Le Goff, an Olympic champion at the end of his career, makes a homophobic statement on TV. His punishment: coach the Shiny Shrimps, a flamboyant and amateur gay water-polo team. They have only one thing in mind: to qualify for the Gay Games in Croatia where the hottest international LGBT athletes compete. It's the start of a bumpy and joyful ride - Faster, Higher, Stronger.","https://m.media-amazon.com/images/M/MV5BNzk2NmQxYTAtZTI1OC00ZTQ2LTlmOTktYmEwZTEwYzYyNjkyXkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_UY268_CR8,0,182,268_AL_.jpg",tt6918220,RENAUD CHÉLÉLÉKIAN,6.8,https://imdb-video.media-imdb.com/vi3944725017/1434659607842-pgv4ql-1547979693560.mp4?Expires=1558064313&Signature=PuZcCvr3kU5ZIKMiwnDVJdfOPrgsR-p7HdtxSxWvi-XPIdXvxiLg0ELm1Lu17Y2s~sKhTloBdSIDGAJ7kNfiep2pxcToh1IX8IKx076fsxJPkdCO~lxsKXJhhr6crYuTXMTqHZAJYcOTTYOw-LWr6WSXzVAD2OWrqOLsI22ByD4kF8LTUrV01JBss~BtUY0hdbYR1t~YqLSBtVAaq9pRAdKqbnoUVJOlQtyAzJwfMIj8mzCiQBG0N2G8frv9iPSbSri2C29wkoiplUwKSbVRNYPv2nf3dbLaaNy78XWAKN0zF6wON~Whli4K9v2j4bn2-CYoxcXvFnKutg3O5GnrKg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BNzExZDI1NjMtYTQzNy00MTNmLWE2OTctOTk1ODZiYjFjNTY0XkEyXkFqcGdeQXRodW1ibmFpbC1pbml0aWFsaXplcg@@._V1_UX477_CR0,0,477,268_AL_.jpg"
fr,5,Hellboy,2019,R,12 Apr 2019,120 min,"Action, Adventure, Fantasy, Horror, Sci-Fi",Neil Marshall,"Mark Stanley, Brian Gleeson, Nadya Keranova, Maria Tepavicharova","Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.",https://m.media-amazon.com/images/M/MV5BODdkMDQzMzItZDc4YS00OGM4LTkxNTQtNjUzNzU0ZmJkMWY2XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,tt2274648,Summit Entertainment,5.4,https://imdb-video.media-imdb.com/vi3294345753/1434659607842-pgv4ql-1551435591236.mp4?Expires=1558064320&Signature=YrZWHqNpvP9lwJs2UX6mIDGtIgszKftq47nk12J6zNbYH7BEa-p9ynzraHzTw9IfhyaY3e8608fjNRagJeqRh33D8g-wV8G47BsvL83KHSSQv0bU6U3OFYEeE-P4gCz7~RURY2oRYBcRqKLd0hgWmAQ~IxbkJCxU0~w~NAZHfmFCA5rBCNgSxxM0~MkRaF~NbUUaJO4gjIYku0iBPcuwuyk3vSd8F7plOW1E1pZPUIZ8QoCHQMjxkQjmiuZ2rJmoIZbAIwbMZlslN3AguDSEPXbodaoI8GrGjc6syiTNNjUbgGd-gpndnuCpJYr447B45v44u--w-FY~4QMfetGldA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BMWIzMzYzNDUtODlmMS00MDIzLWExNTYtMTU3NmE2ZTY5NzczXkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
fr,6,After,2019,PG-13,12 Apr 2019,105 min,"Drama, Romance",Jenny Gage,"Hero Fiennes Tiffin, Josephine Langford, Selma Blair, Jennifer Beals","Tessa Young is an 18 year old college student with a simple life, excellent grades, and a sweet boyfriend. She always has things planned out ahead of time, until she meets a rude boy named Hardin, with too many tattoos and piercings who shatters her plans.",https://m.media-amazon.com/images/M/MV5BOGUwMjk3YzktNDI0Yy00MzFiLWFjNmEtYTA2ODVjMzNhODhjXkEyXkFqcGdeQXVyOTQ1MDI4MzY@._V1_SX300.jpg,tt4126476,Aviron Pictures,5.6,https://imdb-video.media-imdb.com/vi191412761/1434659607842-pgv4ql-1550169864182.mp4?Expires=1558064331&Signature=mpQaNc8LhpparWLpllAzXSUUWsIAVEVy~7pE9GxyCGuVcXSPYfo6uLKII0WF5ULGBYHKSu4R8M6IasouTYGG6mYYarzWyhiGK-R72oCrfHEIQAxHcxaRZPqxf~WizPaaCYe~oGd3CjcJq6Vzj8YyCmK~Z5GvVz0hB7rvW6j2VLrQUnNT6UuyLcc4tf21U5~QWvgo60X3HX8shAd1a3oNjcRdTsr~h9rMvlW2SDlAesHsOtw08kIUTBwFrhrMmrfChTz-VxhjUzr7thWWxU8GX2cLGBcTafqaHsXT~cWZEsfTqhUYUknUaWG2UiCawvAj6CFamE4V2sIld3uE1~CyAw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BMjJlYWE2NWUtZjJkNC00Y2UzLWI5OTYtNWRlYzg5YjkxYzQyXkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
fr,7,The Curse of La Llorona,2019,R,19 Apr 2019,93 min,"Horror, Mystery, Thriller",Michael Chaves,"Linda Cardellini, Roman Christou, Jaynee-Lynne Kinchen, Raymond Cruz","Ignoring the eerie warning of a troubled mother suspected of child endangerment, a social worker and her own small kids are soon drawn into a frightening supernatural realm.",https://m.media-amazon.com/images/M/MV5BMTkxODk1MTM3Nl5BMl5BanBnXkFtZTgwNDUxNzg0NzM@._V1_SX300.jpg,tt4913966,New Line Cinema,5.7,https://imdb-video.media-imdb.com/vi3663903257/1434659607842-pgv4ql-1549906308130.mp4?Expires=1558064339&Signature=Cfa4a0a5TGFpZHgaiuGufJBUoXEMrQl9lqS25-PRVLgASUnu8SZsHDqzDRIwzoUKg0AYbX94PEnQLU68B7rfTy5ZBx-qTnoTCP1HXNrpmG3CiYBL0pW5i6KrSo2vXs~d7f6Xk5kDc02i3ZIGu04b3UPbHbXwc1tO6WQPVbZWiX4HswD23Cu8OxdBsY0OUMrdWdOCzc1t-~pc5gHwT1DO~3wYV1o7kEFlCzDI7Lm3SVt0IYJQsrjg7xA2vcH~SQdkfHoV2XJtrbFSrmjHf1DQegrOXdP6FCI0gao4jg109E7aA7xVc2swB5jLpm0nrsJFlTbLTmJMpD3L96TYNkakcQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BZjYwZTJiYTktM2E0NC00ZjJjLWFmYmYtYjZmM2ZlOTdjNzI3XkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
fr,8,Wonder Park,2019,PG,15 Mar 2019,85 min,"Animation, Adventure, Comedy, Family, Fantasy",Dylan Brown,"Sofia Mali, Jennifer Garner, Ken Hudson Campbell, Kenan Thompson",Wonder Park tells the story of an amusement park where the imagination of a wildly creative girl named June comes alive.,https://m.media-amazon.com/images/M/MV5BMjI5MTQ5NzE4Nl5BMl5BanBnXkFtZTgwNTk2MDA5NjM@._V1_SX300.jpg,tt6428676,Paramount Animation,5.7,https://imdb-video.media-imdb.com/vi1064811033/1434659607842-pgv4ql-1549203262611.mp4?Expires=1558064346&Signature=FgGdbDLBzM-I7J6~mT9GC8BwrxA~DYF8xVdePqw34p9f-Bf7YPxOv74Zoh5X3oGH5GQug1p7p2acfa~yuH2tSr3063OG3cLgcZKM6aghaPvQOslCG09nieQoOdxrDmkVgYTPcs3De~5dHBHNz0Q~nrxvLtG0szHMaZb6-n~5C5NKMYb7gqjVw~tRpLsrWOm-eBIW4sO-ewjnEZg-E1nz1rg78vezUDGN~R5HTu5cHutdJ7mYm2XKEodfpiWpAezShUXzZrDnpjCQpf2zDWKJQZX-pdFvAYpqhq6Jo1rzjgLbXEAoLfXkjrPdyTo6SS8UkSW3fEj~CXucP4vrTluf4Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BYjI0OTg0NDEtNDdmOS00NDcxLTgxMGItNDQyMzBiNTZjN2U2XkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
fr,9,Dumbo,2019,PG,29 Mar 2019,112 min,"Adventure, Family, Fantasy",Tim Burton,"Colin Farrell, Michael Keaton, Danny DeVito, Eva Green","A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",https://m.media-amazon.com/images/M/MV5BNjMxMDE0MDI1Ml5BMl5BanBnXkFtZTgwMzExNTU3NjM@._V1_SX300.jpg,tt3861390,Walt Disney Pictures,6.6,https://imdb-video.media-imdb.com/vi2482814233/1434659607842-pgv4ql-1553631110064.mp4?Expires=1558064363&Signature=uUa8xWEhXiW68fVMv8rxjvE-2Y-LDMX03YtiU8TEoGsbbi6-ITiM-k~6AwWkH7T9pEkHsB8XD6h1i1ea-Cq8MyTrPk1jnfeAeGzllRueZM~C1PoflMXp6KqVwQLYWGpNVnYTVUHt~RJWwAO2oEird29GdI4Tn6Tmgre8d4OyqkCubsYKf95F5f7yEDKWGMUK22ZZCiEbZPo0yP9BqHnfQiRcV8mn5LMXbEY~zPbTeQGe4-unleQpkpFWhdc1IPrX7mbPRMSqdfB~-saSN8va4qaQR6VxGXt67fmer2WiBDtcV7lXhhePzDlcj-TT8A1mzWZqF~NvGWOKwnHK6dGE2A__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BYWJlNzJlMmEtNzAzYS00NTVkLTk4YWItMzcyZDQxM2QyYTllXkEyXkFqcGdeQXRzdGFzaWVr._V1_UX477_CR0,0,477,268_AL_.jpg"
fr,10,The Queen's Corgi,2019,PG,03 Apr 2019,85 min,Animation,"Vincent Kesteloot, Ben Stassen","Jack Whitehall, Julie Walters, Tom Courtenay, Jon Culshaw","""The Queen's Corgi"" is about the adventure of Rex, the British monarch's most beloved dog, who loses track of his mistress and stumbles across a clan with dogs of all kinds confronting and ...",https://m.media-amazon.com/images/M/MV5BZmQzNzZkZmEtYzhjMS00Y2RjLWE3MmYtZmU2MjlkMDU2ODRhXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,tt6563576,Belga Productions,5.4,https://imdb-video.media-imdb.com/vi1332853273/1434659607842-pgv4ql-1548872110296.mp4?Expires=1558064374&Signature=UubEJeTtjOmnVYIVl9tkEhA1amuRte~B9ru8PgqHFybgJ~ntHzOsdWEslqr-kpXuaGYFLXPxe3VXs~KNohkzlWvTimgmzKber0Ks-nYUsVKKBcslq9RrxVcSDS18jgT1RV6fZijJII4aPMfnFMtHWrp0qtu-gS4cz5w9s8jTfl7J01HlzmJJ9OVTfaBL5Yuatrr-fGaixlsxkQakz8uCuPo5ov2vsTI61p6rijF0FwODoZZrOgM2sygFCb1km6Ks5vjZnQBSIy2YnqQ7tNSTpSuUWSmeNNIgUb7dhi86M0XKRe3p0C~3QnI3b5AagYbvuo~0f-yWHzF4HmMOA18bPg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"https://m.media-amazon.com/images/M/MV5BODBiMmZlOGQtZmEyYy00NDk0LWExMTktYzY0ZjU2ZDQ2NmU2XkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
