Rank,Title,Netflix_url,Year,Rated,Season,Genre,Plot,Actors,Trailer,Thumbnail
1,Lucifer,https://www.netflix.com/title/80057918,2016,18,4 Seasons,TV Sci-Fi & Fantasy,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.","Tom Ellis, Lauren German, Kevin Alejandro",https://www.youtube.com/watch?v=KRQb74Cr9N0,https://occ-0-1360-1009.1.nflxso.net/art/572a7/38d4ffd82996ca1c90f93bee8c5becb4618572a7.jpg
2,I Think You Should Leave with Tim Robinson,https://www.netflix.com/title/80986854,2019,18,1 Season,US TV Shows,There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.,"Tim Robinson, Andy Samberg, Sam Richardson",https://www.youtube.com/watch?v=vrZkGgoVSFk,https://occ-0-1360-1009.1.nflxso.net/art/5f307/f0b0ee6f209b138136bb416b66ad0199b815f307.jpg
3,Sex Education,https://www.netflix.com/title/80197526,2018,18,1 Season,Teen TV Shows,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.","Asa Butterfield, Gillian Anderson, Ncuti Gatwa",https://www.youtube.com/watch?v=o308rJlWKUc&t=17s,https://occ-0-1360-1009.1.nflxso.net/art/9bbb0/f1ec852c96c0ce6e5d73b8c68d2bb00eb359bbb0.jpg
4,You,https://www.netflix.com/title/80211991,2018,18,1 Season,Romantic TV Shows,"Obsessed with an aspiring writer, a charming bookstore manager goes to extreme measures to insert himself into her life.","Penn Badgley, Elizabeth Lail, Shay Mitchell",https://www.youtube.com/watch?v=ga1m0wjzscU&t=17s,https://occ-0-1360-1009.1.nflxso.net/art/13e43/791331f7de8ecf4ab710f322252dcb715f013e43.jpg
5,Conversations with a Killer: The Ted Bundy Story,https://www.netflix.com/title/80226612,2019,18,1 Season,US TV Shows,"Present-day interviews, archival footage and audio recordings made on death row form a searing portrait of notorious serial killer Ted Bundy.",,https://www.youtube.com/watch?v=n1UJgrNRcvI&t=26s,https://occ-0-1360-1009.1.nflxso.net/art/e2041/723dc80c79c04f250a8e3032ff8031f6537e2041.jpg
6,Russian Doll,https://www.netflix.com/title/80211627,2019,18,1 Season,US TV Shows,Nadia keeps dying and reliving her 36th birthday party. She's trapped in a surreal time loop -- and staring down the barrel of her own mortality.,"Natasha Lyonne, Charlie Barnett, Yul Vazquez",https://www.youtube.com/watch?v=GER6akzxZ9Q,https://occ-0-1360-1009.1.nflxso.net/art/d7f4f/bc411e0701af8bf42a26612a9f44be81db7d7f4f.jpg
7,The Umbrella Academy,https://www.netflix.com/title/80186863,2019,15,1 Season,TV Sci-Fi & Fantasy,"Reunited by their father's death, estranged siblings with extraordinary powers uncover shocking family secrets -- and a looming threat to humanity.","Ellen Page, Tom Hopper, David Castañeda",https://www.youtube.com/watch?v=0DAmWHxeoKw&t=18s,https://occ-0-1360-1009.1.nflxso.net/art/ae16a/0344fde1e813d3fabd78ac6d88315ae6a1eae16a.jpg
8,Stranger Things,https://www.netflix.com/title/80077368,2016,15,2 Seasons,TV Sci-Fi & Fantasy,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.","Winona Ryder, David Harbour, Finn Wolfhard",https://www.youtube.com/watch?v=YEG3bmU_WaI&t=46s,https://occ-0-1360-1009.1.nflxso.net/art/f403f/4732cc480241f5bbe13134e6adc1f382f00f403f.jpg
9,BoJack Horseman,https://www.netflix.com/title/70300800,2014,18,5 Seasons,Award-winning TV Shows,"Meet the most beloved sitcom horse of the '90s, 20 years later. He’s a curmudgeon with a heart of...not quite gold...but something like gold. Copper?","Will Arnett, Aaron Paul, Amy Sedaris",https://www.youtube.com/watch?v=IW3T7GEHs_8&t=14s,https://occ-0-1360-1009.1.nflxso.net/art/69a38/39ca267a00f236b8fb240874fc08247e40d69a38.jpg
10,Evil Genius,https://www.netflix.com/title/80158319,2018,18,1 Season,US TV Shows,This baffling true crime story starts with the grisly death of a pizza man who robs a bank with a bomb around his neck -- and gets weirder from there.,,https://www.youtube.com/watch?v=Qpdb9zo_1t8&t=12s,https://occ-0-1360-1009.1.nflxso.net/art/230eb/1ca0dddde23db9be2240654224d6b76fc9e230eb.jpg
